,Data,Page Title,Type Of Data
0,"
",About this book,plain_text
1,"The Java Programming Wikibook is a shared effort in amassing a comprehensive guide of the complete Java platform — from programming advice and tutorials for the desktop computer to programming on mobile phones. The information presented in this book has been conceptualised with the combined efforts of various contributors, and anonymous editors.
",About this book,plain_text
2,"The primary purpose of this book is to teach the Java programming language to an audience of beginners, but its progressive layout of tutorials increasing in complexity, it can be just as helpful for intermediate and experienced programmers. Thus, this book is meant to be used as:
",About this book,plain_text
3,"a collection of tutorials building upon one another in a progressive manner;
a guidebook for efficient programming with the Java programming language; and,
a comprehensive manual resource for the advanced programmer.",About this book,plain_text
4,"This book is intended to be used in conjunction with various other online resources, such as:
",About this book,plain_text
5,"the Java platform API documentation;
the official Java website; and,
active Java communities online, such as Java.net and JavaRanch, etc.",About this book,plain_text
6,,Who should read this book?[edit],
7,"Everything you would need to know to write computer programs would be explained in this book. By the time you finish reading, you will find yourself proficient enough to tackle just about anything in Java and programs written using it. This book serves as the first few stepping stones of many you would need to cross the unfriendly waters of computer programming. We have put a lot of emphasis in structuring this book in a way that lets you start programming from scratch, with Java as your preferred language of choice. This book is designed for you if any one of the following is true.
",Who should read this book?[edit],plain_text
8,"You are relatively new to programming and have heard how easy it is to learn Java.
You had some BASIC or Pascal in school, and have a grasp of basic programming and logic.
You already know and have been introduced to programming in earlier versions of Java.
You are an experienced developer and know how to program in other languages like C++, Visual Basic, Python, Ruby, etc.
You've heard that Java is great for web applications and web services programming.",Who should read this book?[edit],plain_text
9,"Although this book is generally meant to be for readers who are beginning to learn programming, it can be highly beneficial for intermediate and advanced programmers who may have missed out on some vital information. After completing this book you should be able to solve many complicated problems using the Java skills presented in the following chapters. Once you finish, you are also encouraged to undertake ambitious programming projects of your own.
",Who should read this book?[edit],plain_text
10,"This book assumes that the reader has no prior knowledge of programming in Java, or for that matter, any object-oriented programming language. Practical examples and exercises following each topic and module make it easy to understand the software development methodology.  If you are a complete beginner, we suggest that you move slowly through this book and complete each exercise at your own pace.
",Who should read this book?[edit],plain_text
11,,How to use this book[edit],
12,"This book is a reference book of the Java language and its related technologies. Its goal is to give a complete picture of Java and its technologies.  While the book can be read from the beginning to end, it is also designed to have individual sections that can be read independently.  To help find information quickly, navigation boxes are given in the online version for access to individual topics.
",How to use this book[edit],plain_text
13,"This book is divided to sections. Pages are grouped together into section topics. To make this book expandable in the future via the addition of new sections, the sections navigation-wide are independent from each other. Each section can be considered as a mini book by itself. Pages that belong to the same topic can be navigated by the links on the right hand side.
",How to use this book[edit],plain_text
14,,How can you participate[edit],
15,"Content is constantly being updated and enhanced in this book as is the nature of wiki-based content. This book is therefore in a constant state of evolution. Any Wikibooks users can participate in helping this book to a better standard as both a reader, or a contributor.
",How can you participate[edit],plain_text
16,"If you are interested in reading the content present in this book, we encourage you to:
",How can you participate[edit],plain_text
17,"share comments about the technical accuracy, content, or organization of this book by telling the contributors in the Discussion section for each page. You can find the link Discussion on each page in this book leading you to appropriate sections for discussion. Leave a signature when providing feedback, writing comments, or giving suggestion on the Discussion pages. This can be achieved by appending -- ~~~~ to your messages. Do not add your signatures to the Book pages, they are only meant for the Discussion pages.
share news about the Java Programming Wikibook with your family and friends and let them know about this comprehensive Java guide online.
become a contributing author, if you think that you have information that could fill in some missing gaps in this book.",How can you participate[edit],plain_text
18,"If you are intent on writing content for this book, you need to do the following:
",How can you participate[edit],plain_text
19,"When writing content for this book, you can always pose as an anonymous contributor, however we recommend you sign-in into the Wikibooks website when doing so. It becomes easier to track and acknowledge changes to certain parts of the book. Furthermore, the opinions and views of logged-in users are given precedence over anonymous users.
Once you have started contributing content for this book, make sure that you add your name to the contributor list.
Be bold and try to follow the conventions for this Wikibook. It is important that the conventions for this book be followed to the letter to make content consistent and reliable throughout.",How can you participate[edit],plain_text
20,"
",How can you participate[edit],plain_text
21,"
",History of Java,plain_text
22,"On 23 May 1995, John Gage, the director of the Science Office of the Sun Microsystems along with Marc Andreesen, co-founder and executive vice president at Netscape announced to an audience of SunWorldTM that Java technology wasn't a myth and that it was going to be incorporated into Netscape Navigator.[1]
",History of Java,plain_text
23,"At the time the total number of people working on Java was less than 30.[1] This team would shape the future in the next decade and no one had any idea as to what was in store. From running an unmanned vehicle on Mars to serving as the operating environment of most consumer electronics, e.g. cable set-top boxes, VCRs, toasters and PDAs,[2] Java has come a long way from its inception. Let's see how it all began.
",History of Java,plain_text
24,,Earlier programming languages[edit],
25,"Before Java emerged as a programming language, C++ was the dominant player in the trade. The primary goal of the creators of Java was to create a language that could tackle most of the things that C++ offered while getting rid of some of the more tedious tasks that came with the earlier languages.
",Earlier programming languages[edit],plain_text
26,"Computer hardware went through a performance and price revolution from 1972 to 1991. Better, faster hardware was available at ever lower prices, and the demand for big and complex software exponentially increased. To accommodate the demand, new development technologies were invented.
",Earlier programming languages[edit],plain_text
27,"The C language developed in 1972 by Dennis Ritchie had taken a decade to become the most popular language amongst programmers working on PCs and similar platforms (other languages, like COBOL and FORTRAN, dominated the mainframe market). But, with time programmers found that programming in C became tedious with its structural syntax.[3] Although people attempted to solve this problem, it would be later that a new development philosophy was introduced, one named Object-Oriented Programming (OOP). With OOP, one can write code that can be reused later without needing to rewrite the code over and over again. In 1979, Bjarne Stroustrup developed C++, an enhancement to the C language with included OOP fundamentals and features. Sun generated revenue from Java through the selling of licenses for specialized products such as the Java Enterprise System.
",Earlier programming languages[edit],plain_text
28,,The Green team[edit],
29,"In December of 1990, a project was initiated behind closed doors with the aim to create a programming tool that could render obsolete the C and C++ programming languages. Engineer Patrick Naughton had become extremely frustrated with the state of Sun's C++ and C APIs (Application Programming Interfaces) and tools. While he was considering to move towards NeXT, he was offered a chance to work on new technology and the Stealth Project was started, a secret nobody but he knew.
",The Green team[edit],plain_text
30,"This Stealth Project was later named the Green Project when James Gosling and Mike Sheridan joined Patrick.[1] As the Green Project teethed, the prospects of the project started becoming clearer to the engineers working on it. No longer did it aim to create a new language far superior to the present ones, but it aimed to target devices other than the computer.
",The Green team[edit],plain_text
31,"Staffed at 13 people, they began work in a small office on Sand Hill Road in Menlo Park, California. This team came to be called the Green Team henceforth in time. The project they underwent was chartered by Sun Microsystems to anticipate and plan for the ""next wave"" in computing. For the team, this meant at least one significant trend, that of the convergence of digitally controlled consumer devices and computers.[1]

",The Green team[edit],plain_text
32,,Reshaping thought[edit],
